0,4
9,95
24,76
65,28
42,9
54,22
41,16
56,12
53,16
39,14
51,21
43,11
51,11
47,16
43,17
42,20
40,15
52,11
53,12
44,14
41,12
42,19
53,8
44,11
49,15
38,21
49,11
42,15
32,19
47,12
37,19
46,15
49,9
50,3
56,7
35,14
49,14
47,12
38,18
37,20
43,14
41,13
52,21
40,11
52,11
50,7
51,13
48,16
39,16
44,18
42,9
46,18
37,15
44,19
47,17
43,14
39,16
43,12
48,16
42,15
50,18
34,18
37,18
43,17
42,11
52,13
37,16
46,9
37,18
40,12
47,16
34,12
36,13
45,15
34,13
48,13
32,13
48,14
33,10
43,20
32,12
46,12
34,16
47,14
48,9
47,10
31,14
40,23
43,11
53,13
37,10
40,10
47,11
46,10
42,13
42,12
36,13
42,14
41,8
48,10
42,13
43,14
34,19
40,12
36,12
40,14
33,14
40,11
43,17
35,9
42,13
30,18
30,15
46,12
36,11
45,16
46,16
30,11
35,20
33,14
36,14
38,16
26,15
43,18
33,17
35,14
42,15
40,10
32,10
40,19
37,13
36,18
37,12
33,14
34,20
41,13
40,11
40,13
44,21
40,17
38,12
43,20
39,8
50,16
43,16
31,20
48,7
34,14
43,13
41,18
35,16
38,23
28,19
43,15
42,9
35,14
48,15
37,11
35,15
39,18
35,10
36,15
32,16
37,12
37,12
33,19
42,16
36,13
37,16
29,20
34,12
37,15
32,16
33,15
38,16
34,15
41,16
43,15
34,15
30,19
37,10
31,19
38,14
43,11
43,15
39,14
35,14
42,11
41,11
34,14
38,15
29,18
41,17
24,14
46,15
35,12
29,16
38,20
25,16
34,23
